Time,Dollar Value,Product Demo,Digital Coupon,Shelf talk Banner,Price offs,BOGOs,Dollar Sales
 12-04-16,646159.9597,no,no,yes,yes,no,Sales < $1.82Mn
 12-11-16,852647.6339,no,yes,yes,yes,no,Sales < $1.82Mn
 12-18-16,981050.0724,no,no,yes,yes,yes,Sales < $1.82Mn
 12-25-16,1164397.623,no,no,yes,no,no,Sales < $1.82Mn
 01-01-17,1206245.022,no,no,no,yes,no,Sales < $1.82Mn
 01-08-17,1343395.162,no,yes,no,yes,no,Sales < $1.82Mn
 01-15-17,1464488.738,no,no,no,yes,yes,Sales < $1.82Mn
 01-22-17,1539524.046,no,no,no,yes,no,Sales < $1.82Mn
 01-29-17,1610937.702,no,no,no,no,no,Sales < $1.82Mn
 02-05-17,2151325.5,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 02-12-17,1727263.394,yes,no,no,no,no,Sales < $1.82Mn
 02-19-17,1695442.439,no,no,yes,no,no,Sales < $1.82Mn
 02-26-17,1837607.211,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 03-05-17,1921740.766,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 03-12-17,1864377.917,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 03-19-17,1903845.432,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 03-26-17,1827349.423,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 04-02-17,1975722.916,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 04-09-17,2191491.133,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 04-16-17,2455258.434,no,no,no,no,no,Sales > $2.20Mn
 04-23-17,1875223.954,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 04-30-17,1984270.305,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 05-07-17,2099655.328,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-14-17,1976785.963,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-21-17,2153755.29,no,yes,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-28-17,2854787.935,no,no,no,yes,no,Sales > $2.20Mn
 06-04-17,2458130.06,no,no,no,yes,no,Sales > $2.20Mn
 06-11-17,2195973.178,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 06-18-17,2115913.153,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
